datevar_d,icnsa
06nov2010,452657
13nov2010,409548
20nov2010,464817
27nov2010,412922
04dec2010,585711
11dec2010,491776
18dec2010,495548
25dec2010,525710
01jan2011,578904
08jan2011,773499
15jan2011,549688
22jan2011,485950
29jan2011,464775
05feb2011,440706
12feb2011,424400
19feb2011,380985
26feb2011,353797
05mar2011,407299
12mar2011,371721
19mar2011,354457
26mar2011,357457
02apr2011,353817
09apr2011,448029
16apr2011,381834
23apr2011,387867
30apr2011,415974
07may2011,397737
14may2011,361573
21may2011,376632
28may2011,381497
04jun2011,366816
11jun2011,400608
18jun2011,394286
25jun2011,406633
02jul2011,425640
09jul2011,473963
16jul2011,470086
23jul2011,369207
30jul2011,341103
06aug2011,354408
13aug2011,346014
20aug2011,344870
27aug2011,336761
03sep2011,348582
10sep2011,328868
17sep2011,353820
24sep2011,328073
01oct2011,332394
08oct2011,405906
15oct2011,357562
22oct2011,377156
29oct2011,369647
05nov2011,402532
12nov2011,363016
19nov2011,440157
26nov2011,372640
03dec2011,528793
10dec2011,435863
17dec2011,421103
24dec2011,497689
31dec2011,540057
07jan2012,646219
14jan2012,525422
21jan2012,416880
28jan2012,422287
04feb2012,401365
11feb2012,365014
18feb2012,346659
25feb2012,334242
03mar2012,368433
10mar2012,340102
17mar2012,319498
24mar2012,323373
31mar2012,315800
07apr2012,390064
14apr2012,370482
21apr2012,370632
28apr2012,333476
05may2012,341080
12may2012,325094
19may2012,330427
26may2012,346260
02jun2012,324385
09jun2012,376610
16jun2012,364548
23jun2012,370521
30jun2012,369826
07jul2012,442192
14jul2012,455260
21jul2012,340780
28jul2012,312931
04aug2012,320219
11aug2012,317680
18aug2012,311857
25aug2012,312542
01sep2012,309537
08sep2012,299729
15sep2012,330454
22sep2012,303685
29sep2012,301046
06oct2012,329925
13oct2012,362730
20oct2012,345227
27oct2012,339924
03nov2012,361823
10nov2012,478551
17nov2012,403636
24nov2012,358865
01dec2012,500163
08dec2012,429191
15dec2012,401431
22dec2012,457584
29dec2012,490126
